V12,CollegeGrad,Service,Race_Asian NH,Race_Black NH,Race_White NH
259.0,5826.0,5723.0,1,0,0
128.0,1739.0,5295.0,0,1,0
787.0,8249.0,34792.0,0,0,0
2747.0,44850.0,29420.0,0,0,1
29.0,614.0,1981.0,0,0,0
34.0,2084.0,1240.0,1,0,0
152.0,2435.0,9555.0,0,1,0
121.0,1924.0,5459.0,0,0,0
4720.0,96802.0,69156.0,0,0,1
28.0,1477.0,2238.0,0,0,0
62.0,2447.0,1286.0,1,0,0
422.0,19016.0,29772.0,0,1,0
200.0,1954.0,5804.0,0,0,0
6412.0,115875.0,64279.0,0,0,1
0.0,653.0,855.0,0,0,0
0.0,1371.0,733.0,1,0,0
202.0,6255.0,18144.0,0,1,0
87.0,1273.0,2572.0,0,0,0
3448.0,71355.0,45262.0,0,0,1
32.0,712.0,907.0,0,0,0
107.0,1386.0,847.0,1,0,0
99.0,1905.0,6046.0,0,1,0
29.0,723.0,2592.0,0,0,0
2560.0,60893.0,48175.0,0,0,1
31.0,1217.0,2117.0,0,0,0
210.0,3235.0,1760.0,1,0,0
214.0,3760.0,12139.0,0,1,0
215.0,2752.0,11330.0,0,0,0
6840.0,78057.0,37552.0,0,0,1
280.0,11494.0,14833.0,0,0,0
1634.0,68564.0,58751.0,1,0,0
0.0,1938.0,1371.0,0,1,0
136.0,3196.0,6675.0,0,0,0
1287.0,30572.0,12837.0,0,0,1
359.0,8070.0,6361.0,0,0,0
1184.0,42436.0,16646.0,1,0,0
1553.0,56415.0,82846.0,0,1,0
2881.0,35839.0,135880.0,0,0,0
29872.0,344412.0,110544.0,0,0,1
21.0,1421.0,2220.0,0,0,0
194.0,3634.0,1798.0,1,0,0
409.0,12422.0,27240.0,0,1,0
123.0,2140.0,4767.0,0,0,0
10119.0,170557.0,104458.0,0,0,1
101.0,1311.0,1920.0,0,0,0
214.0,4314.0,3417.0,1,0,0
445.0,13293.0,24790.0,0,1,0
234.0,3043.0,4295.0,0,0,0
6791.0,95071.0,59069.0,0,0,1
153.0,2723.0,3575.0,0,0,0
186.0,5145.0,2959.0,1,0,0
486.0,12962.0,28696.0,0,1,0
106.0,4238.0,11887.0,0,0,0
9349.0,198276.0,101180.0,0,0,1
29.0,619.0,988.0,0,0,0
26.0,1307.0,551.0,1,0,0
47.0,2890.0,5333.0,0,1,0
6.0,588.0,509.0,0,0,0
2426.0,60877.0,44287.0,0,0,1
85.0,2882.0,7351.0,0,0,0
380.0,11114.0,19214.0,1,0,0
510.0,5662.0,22553.0,0,1,0
650.0,6340.0,57970.0,0,0,0
6570.0,82494.0,106591.0,0,0,1
184.0,743.0,841.0,0,0,0
0.0,985.0,773.0,1,0,0
201.0,8185.0,18321.0,0,1,0
84.0,487.0,1043.0,0,0,0
3057.0,55862.0,32583.0,0,0,1
1922.0,33432.0,23204.0,0,0,0
7812.0,258609.0,85154.0,1,0,0
3707.0,69525.0,89387.0,0,1,0
7900.0,108439.0,416136.0,0,0,0
65089.0,543713.0,174765.0,0,0,1
522.0,10193.0,6421.0,0,0,0
2476.0,78092.0,24662.0,1,0,0
250.0,5176.0,3521.0,0,1,0
2412.0,26727.0,101771.0,0,0,0
30350.0,271443.0,85410.0,0,0,1
70.0,1079.0,1752.0,0,0,0
67.0,2085.0,1299.0,1,0,0
254.0,6310.0,18851.0,0,1,0
84.0,907.0,1889.0,0,0,0
4891.0,81456.0,59776.0,0,0,1
12.0,142.0,126.0,0,0,0
93.0,1017.0,166.0,1,0,0
0.0,117.0,205.0,0,1,0
558.0,17505.0,43512.0,0,0,0
630.0,8879.0,3024.0,0,0,1
32.0,889.0,884.0,0,0,0
179.0,2977.0,1419.0,1,0,0
953.0,22946.0,48899.0,0,1,0
62.0,1250.0,2110.0,0,0,0
6023.0,77278.0,33490.0,0,0,1
182.0,3099.0,5273.0,0,0,0
269.0,5868.0,3853.0,1,0,0
767.0,16640.0,56939.0,0,1,0
6307.0,99117.0,123756.0,0,0,0
9478.0,69899.0,28105.0,0,0,1
60.0,1224.0,3376.0,0,0,0
187.0,3827.0,1947.0,1,0,0
468.0,9061.0,29770.0,0,1,0
164.0,4382.0,10816.0,0,0,0
8557.0,170598.0,84547.0,0,0,1
103.0,4208.0,8554.0,0,0,0
